"grp"|"WhateverPJSays"|"inc"|"noise"|"grpfac"
1|11|44444|.|"Midwest"
1|10|34343|321.207764474573|"Midwest"
1|9|11112|.|"Midwest"
1|15|23232|345.611090552194|"Midwest"
1|7|23111|363.05313185246|"Midwest"
1|12|78787|NA|"Midwest"
2|8|33233|.|"Western"
2|6|22312|NA|"Western"
2|11|32322|NA|"Western"
2|20|76755|317.294449799896|"Western"
2|13|54542|331.625044215241|"Western"
2|14|22323|NA|"Western"
2|11|44343|-278.783716953688|"Western"
3|13|21367|NA|"Eastern"
3|8|65665|244.470755944968|"Eastern"
3|18|36533|NA|"Eastern"
3|20|43433|NA|"Eastern"
3|14|34333|-186.784638260593|"Eastern"
3|15|34333|-223.699493867108|"Eastern"
