Urban Area,PopGroup,Year,Population,PopRank,Peak Travelers,Commuters,Freeway Daily VMT,Freeway Lane miles,Arterial Daily VMT,Arternial Lane-miles,Transit Passenger Miles,Transit Passenger Trips,Value of Time,Commercial Value of Time,Avg. State Gas Cost,Avg. State Diesel Cost,% Peak VMT Congested,% Lane-miles Congested,Number of Rush Hours,Gallons Excess Fuel,Gallons Excess Ranged,Gallons Excess per Commuter,Gallons per Rank,Total Hours of Delay,Total Delay Rank,Delay per Commuter,Rank,Travel Time Index,TTI Rank,Commuter Stress Index,CSI Rank,Freeway Planning Time Index 95,Freeway Planning Time Index 95 Rank,Freeway Planning Time Index 80,Freeway Planning Time Index 80 Rank,Excess CO2 lbs,Excess CO2 Rank,Excess CO2 per Peak Commuter,Excess CO2 per Peak Commuter Rank,Truck Congestion Cost,Truck Commodity Value,Annual Congestion Cost,Annual Congestion Cost Rank,Congestion Cost per Commuter,Congestion Cost per Commuter Rank,Delay Reduced due to Operations Treatments,Delay Reduced due to Operations per Commuter,Wasted Fuel Saved by Operations Treatments,Congestion Cost Saved by Operations Treatments,Delay Reduced due to Transit,Delay Reduced due to Transit per Commuter,Fuel Saved by Transit,Congestion Cost Saved by Transit,Roadway Congestion Index,Presence of Urban Rail in 2011,Size Category of Urban Rail in 2011
Akron OH,Med,2011,619,66,346,324,5729,487,4704,1204,26.7,6.9,16.79,86.81,3.25,3.69,20,19,2.5,4147,77,10,86,9789,76,23,83,1.12,74,1.13,81,2.23,71,1.33,68,83,76,195,85,44,9983,209,76,483,85,68,0,28.807436919,1.4,226,1,95.7423638778,4.8,0.83,0,0
Albany NY,Med,2011,616,67,344,323,7173,755,5501,1162,47.7,14.4,16.79,86.81,3.65,3.99,26,32,2.5,8032,56,19,24,13092,62,31,50,1.16,51,1.21,45,2.57,60,1.4,63,162,56,379,28,64,33017,293,60,682,48,369,1,226.3831347388,8.3,567,2,347.8570119157,12.7,0.74,0,0
Albuquerque NM,Med,2011,630,64,352,330,5469,393,7627,1603,105,13.9,16.79,86.81,3.31,3.69,39,33,2.5,6408,62,15,48,12488,63,29,60,1.1,87,1.12,89,2.7,54,1.52,48,74,79,170,90,82,14125,288,62,658,53,841,3,431.5445227418,19.4,252,1,129.3094170404,5.8,0.98,1,2
Allentown-Bethlehem PA-NJ,Med,2011,635,63,355,333,5096,448,5399,969,27.3,6,16.79,86.81,3.41,3.79,38,42,2.5,6339,64,14,57,13247,60,30,53,1.17,47,1.21,45,2.61,58,1.39,64,128,62,289,54,69,16118,292,61,656,54,318,1,152.1704536876,7,344,1,164.6120631086,7.6,0.9,0,0
Anchorage AK,Sml,2011,307,95,172,161,1380,190,1992,386,32.3,4.7,16.79,86.81,3.8,4.17,17,26,1.5,1770,95,8,91,3627,96,17,93,1.18,37,1.23,32,2.93,46,1.79,21,31,93,144,93,16,4507,78,96,367,93,101,1,49.2886683209,2.2,258,2,125.905707196,5.5,0.69,0,0
Atlanta GA,Vlg,2011,4360,8,2372,2135,49501,2970,43201,7586,896.1,146.4,16.79,86.81,3.2,3.64,78,59,5,63521,11,23,12,142041,10,51,7,1.24,17,1.33,13,3.71,19,1.79,21,1284,11,462,11,775,191563,3135,9,1120,7,6863,3,3069.1463943509,151.5,10520,5,4704.5636119149,232.2,1.18,1,4
Austin TX,Lrg,2011,1345,35,767,712,12650,953,11004,2052,154.9,33.9,16.79,86.81,3.29,3.56,61,49,5.75,17075,32,20,19,38307,32,44,17,1.32,4,1.38,5,4.26,6,2.15,4,343,30,398,23,157,33256,810,33,930,18,1902,3,847.7993578197,40.2,2395,3,1067.5496645522,50.6,0.98,1,2
Bakersfield CA,Med,2011,544,76,304,285,2173,199,4481,1061,26.6,7.1,16.79,86.81,3.51,4.02,34,30,2.5,2240,92,6,97,4752,91,12,100,1.11,79,1.13,81,2.28,70,1.33,68,45,89,118,95,41,10995,117,91,298,98,187,1,88.1481481481,4.6,238,1,112.1885521886,5.9,0.81,0,0
Baltimore MD,Lrg,2011,2523,17,1438,1336,26805,1561,18338,3252,754.8,118.1,16.79,86.81,3.41,3.66,77,58,4.25,33060,16,19,24,70263,17,41,23,1.23,20,1.29,18,3.81,15,1.88,16,667,16,392,25,379,96445,1557,16,908,22,3742,3,1760.6780239956,82.9,11219,8,5278.7404466078,248.6,1.21,1,3
Baton Rouge LA,Med,2011,610,70,341,320,4858,283,8012,1457,15.8,3.6,16.79,86.81,3.28,3.56,44,39,5,10201,51,26,4,17122,55,42,21,1.22,23,1.26,28,3.74,17,1.87,18,210,49,526,3,148,32671,424,53,1052,9,1024,3,610.0819997664,25.3,165,1,98.304228478,4.1,1.18,0,0
Beaumont TX,Sml,2011,243,98,136,128,2985,254,3266,1011,3.9,0.7,16.79,86.81,3.29,3.56,15,15,1.5,2089,94,12,69,4205,93,25,75,1.1,87,1.13,81,1.9,89,1.22,90,42,90,248,67,19,20767,91,93,531,76,99,1,49.1821640904,2.1,40,0,19.8715814507,0.9,0.79,0,0
Birmingham AL,Med,2011,861,52,481,451,10184,810,7969,1593,19.2,2.7,16.79,86.81,3.12,3.59,45,39,3.25,10304,49,18,30,20903,49,35,40,1.19,35,1.23,32,2.97,44,1.52,48,208,50,356,36,107,38716,458,49,773,42,983,2,484.5635554705,21.5,261,1,128.658278716,5.7,0.92,0,0
Boise ID,Sml,2011,319,94,179,168,1617,166,4225,739,8,1.4,16.79,86.81,3.31,3.77,39,49,2,1662,96,8,91,3636,95,16,94,1.06,100,1.12,89,1.67,95,1.17,96,26,95,120,94,10,4879,74,97,334,95,64,0,29.2541254125,1.3,35,0,15.998349835,0.7,0.91,0,0
Boston MA-NH-RI,Vlg,2011,4320,9,2199,1979,42357,2911,34942,7265,1907.5,398.6,16.79,86.81,3.49,3.73,56,39,5,66615,8,26,4,136966,11,53,5,1.28,6,1.35,6,4.25,8,2.02,8,1338,8,526,3,561,129308,2922,11,1147,6,5827,3,2834.0289195859,124.3,37943,19,18454.0173838763,809.4,1.02,1,4
Boulder CO,Sml,2011,152,101,85,80,682,63,1039,200,NA,NA,16.79,86.81,3.27,3.67,17,22,3,1193,100,12,69,2237,101,22,86,1.18,37,1.2,50,3.68,20,1.79,21,24,97,229,75,5,825,45,101,436,88,50,1,26.6651765758,1,116,1,61.8632096558,2.4,0.87,0,0
Bridgeport-Stamford CT-NY,Med,2011,938,50,524,491,10873,686,5974,1354,39.1,11.6,16.79,86.81,3.59,3.9,59,40,5,12226,41,19,24,26503,41,42,21,1.27,8,1.27,24,4.4,4,2.05,7,246,42,392,25,111,11199,566,42,902,24,1107,2,510.666037807,23.7,382,1,176.2189940761,8.2,1.09,0,0
Brownsville TX,Sml,2011,214,100,120,112,842,81,1517,432,15.1,1.8,16.79,86.81,3.29,3.56,17,24,1.5,2292,91,15,48,3697,94,25,75,1.18,37,1.19,55,1.46,99,1.18,94,46,88,308,46,23,2414,85,95,565,72,69,1,42.7773870706,1.6,316,3,195.9080335407,7.3,0.73,0,0
Buffalo NY,Lrg,2011,1048,46,508,472,6931,815,9604,2380,101.8,30.5,16.79,86.81,3.65,3.99,20,21,4,11611,46,18,30,21545,48,33,45,1.17,47,1.19,55,2.79,52,1.48,52,234,46,357,35,102,48933,474,47,718,43,539,1,290.4770944535,11.9,1513,3,815.3837549315,33.3,0.67,1,2
Cape Coral FL,Sml,2011,473,83,265,249,1793,154,5879,911,19.1,3.5,16.79,86.81,3.24,3.65,43,40,2.25,5118,68,15,48,9964,74,30,53,1.15,57,1.2,50,1.86,91,1.13,98,103,67,302,49,53,6033,220,71,645,56,501,2,257.3382175833,11.1,173,1,88.8613006825,3.8,1.08,0,0
Charleston-North Charleston SC,Med,2011,535,77,299,280,3754,268,6021,858,17.2,4.5,16.79,86.81,3.14,3.53,52,51,4.25,5108,70,14,57,10885,68,30,53,1.15,57,1.18,61,3.24,29,1.56,41,103,67,280,55,58,10677,240,68,647,55,354,1,166.1214515388,7.8,126,0,59.1279742765,2.8,1.15,0,0
Charlotte NC-SC,Lrg,2011,1070,43,610,567,12797,978,10066,1686,139.3,26.9,16.79,86.81,3.32,3.64,59,51,4,14599,37,20,19,28974,38,40,25,1.2,27,1.26,28,3.2,31,1.61,39,296,36,412,19,168,69136,653,37,898,25,1313,2,661.5754469524,29.6,1087,2,547.7018361289,24.5,0.99,1,2
Chicago IL-IN,Vlg,2011,8605,3,4707,3959,62791,3500,51500,13959,4098.9,646.6,16.79,86.81,3.51,3.74,88,70,5.25,127016,3,24,8,271718,3,51,7,1.25,14,1.31,16,3.95,13,2.02,8,2320,3,434,16,1716,362328,6214,3,1153,5,11710,3,5473.9007353212,267.8,67432,17,31521.441023414,1542.1,1.16,1,4
Cincinnati OH-KY-IN,Lrg,2011,1717,27,986,887,19370,1358,13323,2890,112,20.7,16.79,86.81,3.25,3.69,47,35,4,20783,27,18,30,42785,29,37,37,1.2,27,1.23,32,3.2,31,1.65,33,421,26,364,33,230,65182,947,27,814,33,1313,1,637.7954657006,29.1,2305,3,1119.6637840365,51,1,0,0
Cleveland OH,Lrg,2011,1700,28,955,857,18569,1580,12222,3111,195.2,47,16.79,86.81,3.25,3.69,21,21,4,17481,31,15,48,34980,36,31,50,1.16,51,1.2,50,2.49,63,1.48,52,350,29,308,46,130,68720,736,36,642,57,1193,1,596.1930531732,25.1,3432,4,1715.1169811321,72.3,0.83,1,3
Colorado Springs CO,Med,2011,557,74,311,292,4624,407,5129,1335,21.1,3,16.79,86.81,3.27,3.67,32,28,3,4128,78,11,80,9941,75,26,71,1.13,68,1.16,69,3.06,39,1.47,55,83,76,214,81,36,6588,205,77,530,78,343,1,142.4307413741,7.1,325,1,134.9562418268,6.7,0.8,0,0
Columbia SC,Sml,2011,490,81,275,258,6106,495,5174,1054,9.6,1.8,16.79,86.81,3.14,3.53,34,40,1.5,4850,73,14,57,10081,72,30,53,1.11,79,1.14,78,1.95,88,1.21,91,98,71,291,53,58,12552,225,69,663,52,184,1,88.5229639917,4.1,301,1,144.8120226168,6.7,0.9,0,0
Columbus OH,Lrg,2011,1289,36,735,683,16466,1104,10872,2170,72.3,19,16.79,86.81,3.25,3.69,49,36,4,15494,36,18,30,35689,34,40,25,1.18,37,1.22,37,2.86,50,1.51,50,311,34,353,39,145,70584,753,35,847,29,1150,2,499.2602762756,24.3,755,1,327.7752248592,15.9,1.05,0,0
Corpus Christi TX,Sml,2011,337,93,189,177,2942,320,2706,757,26.7,6,16.79,86.81,3.29,3.56,12,16,1.5,1340,99,6,97,3160,98,14,98,1.04,101,1.11,95,1.44,100,1.1,99,9,101,39,101,14,12484,67,99,287,100,30,0,12.7215189873,0.6,122,1,51.7341772152,2.6,0.67,0,0
Dallas-Fort Worth-Arlington TX,Vlg,2011,5260,6,3161,3003,62600,3650,44012,10000,468.2,73,16.79,86.81,3.29,3.56,70,44,5,74806,7,20,19,167718,6,45,13,1.26,10,1.33,13,4,11,1.94,14,1505,7,405,20,734,230466,3578,6,957,15,10595,4,4725.6082829511,226,6292,2,2806.3735079121,134.2,1.16,1,3
Dayton OH,Med,2011,745,54,416,390,7384,681,6335,1537,45.7,10.6,16.79,86.81,3.25,3.69,25,24,2.5,6106,66,12,69,12442,65,24,80,1.11,79,1.13,81,2.37,67,1.31,73,123,65,235,70,52,34109,265,64,507,81,275,1,134.9582060762,5.9,347,1,170.2927182125,7.4,0.79,0,0
Denver-Aurora CO,Lrg,2011,2348,19,1477,1396,22205,1463,21575,3840,542.2,98.1,16.79,86.81,3.27,3.67,72,59,5.25,34510,15,20,19,76154,15,45,13,1.27,8,1.34,10,4.08,9,2.01,11,695,15,403,21,316,76748,1612,15,937,16,4447,3,2015.2056359482,94.1,6007,4,2722.1363290175,127.1,1.09,1,3
Detroit MI,Vlg,2011,3869,12,2190,2054,32778,2169,46953,8613,309,49.6,16.79,86.81,3.46,3.74,60,47,5,48705,12,18,30,106434,12,40,25,1.18,37,1.22,37,3.22,30,1.63,36,982,12,370,30,475,161391,2287,12,859,27,3853,2,1763.1618185918,82.8,2355,1,1077.6657365128,50.6,1.08,1,1
