"student","gpa1","job1","gpa2","job2","gpa3","job3","gpa4","job4","gpa5","job5","gpa6","job6","sex","highgpa","admitted"
1,2.29999995231628,"2 hours",2.09999990463257,"2 hours",3,"2 hours",3,"2 hours",3,"2 hours",3.29999995231628,"2 hours","female",2.79999995231628,"yes"
2,2.20000004768372,"2 hours",2.5,"3 hours",2.59999990463257,"2 hours",2.59999990463257,"2 hours",3,"2 hours",2.79999995231628,"2 hours","male",2.5,"no"
3,2.40000009536743,"2 hours",2.90000009536743,"2 hours",3,"2 hours",2.79999995231628,"3 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours","female",2.5,"yes"
4,2.5,"3 hours",2.70000004768372,"2 hours",2.40000009536743,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"2 hours",2.70000004768372,"2 hours","male",3.79999995231628,"no"
5,2.79999995231628,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"2 hours",3,"2 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours","male",3.09999990463257,"yes"
6,2.5,"2 hours",2.40000009536743,"3 hours",2.40000009536743,"3 hours",2.29999995231628,"2 hours",2.70000004768372,"3 hours",2.79999995231628,"3 hours","female",2.90000009536743,"no"
7,2.40000009536743,"3 hours",2.40000009536743,"2 hours",2.79999995231628,"3 hours",2.59999990463257,"2 hours",3,"2 hours",3,"2 hours","male",2.29999995231628,"yes"
8,2.79999995231628,"2 hours",2.79999995231628,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours","female",3.90000009536743,"yes"
9,2.79999995231628,"2 hours",2.70000004768372,"2 hours",2.70000004768372,"3 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",3.5,"2 hours","male",2,NA
10,2.79999995231628,"2 hours",2.79999995231628,"2 hours",3,"2 hours",2.70000004768372,"3 hours",3,"2 hours",3,"2 hours","male",2.79999995231628,"yes"
11,2.59999990463257,"2 hours",2.90000009536743,"3 hours",3.20000004768372,"2 hours",3.59999990463257,"2 hours",3.59999990463257,"2 hours",3.79999995231628,"2 hours","female",3.90000009536743,NA
12,2.59999990463257,"3 hours",3,"2 hours",2.29999995231628,"2 hours",2.90000009536743,"2 hours",3.09999990463257,"2 hours",3.29999995231628,"2 hours","female",2.90000009536743,"yes"
13,2.79999995231628,"2 hours",3.09999990463257,"2 hours",3.5,"2 hours",3.59999990463257,"2 hours",3.90000009536743,"2 hours",3.90000009536743,"2 hours","male",3.70000004768372,NA
14,2.40000009536743,"2 hours",3,"2 hours",2.90000009536743,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours","female",3.5,"yes"
15,2.20000004768372,"2 hours",2.70000004768372,"2 hours",2.59999990463257,"3 hours",2.59999990463257,"3 hours",2.79999995231628,"3 hours",2.79999995231628,"2 hours","male",3.59999990463257,"no"
16,2.5,"2 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours",2.70000004768372,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"2 hours","female",2.90000009536743,"no"
17,2.59999990463257,"2 hours",2.20000004768372,"2 hours",2.59999990463257,"2 hours",2.5,"3 hours",2.59999990463257,"3 hours",2.79999995231628,"2 hours","male",2.40000009536743,"yes"
18,2.40000009536743,"3 hours",2.90000009536743,"2 hours",2,"2 hours",2.59999990463257,"2 hours",2.5,"2 hours",2.70000004768372,"3 hours","male",2.5,"no"
19,2.5,"2 hours",2.29999995231628,"2 hours",3,"2 hours",2.90000009536743,"3 hours",2.90000009536743,"2 hours",2.90000009536743,"3 hours","female",2.29999995231628,"no"
20,2.79999995231628,"2 hours",2.90000009536743,"2 hours",3.20000004768372,"2 hours",3.20000004768372,"2 hours",3.40000009536743,"2 hours",3.29999995231628,"2 hours","male",3.40000009536743,NA
21,2.59999990463257,"2 hours",2.40000009536743,"2 hours",2.5,"2 hours",2.5,"2 hours",2.5,"2 hours",2.59999990463257,"2 hours","female",2.79999995231628,"no"
22,2.79999995231628,"2 hours",2.70000004768372,"2 hours",3.09999990463257,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3.29999995231628,"1 hour","male",3.59999990463257,NA
23,2.79999995231628,"2 hours",3.20000004768372,"2 hours",2.79999995231628,"2 hours",3,"2 hours",2.90000009536743,"3 hours",3,"2 hours","male",2.40000009536743,"yes"
24,2.70000004768372,"2 hours",2.90000009536743,"3 hours",3,"2 hours",2.70000004768372,"2 hours",2.90000009536743,"3 hours",3,"2 hours","female",3.90000009536743,"no"
25,3.5,"2 hours",3.09999990463257,"2 hours",3,"2 hours",3.29999995231628,"2 hours",3.40000009536743,"2 hours",3.59999990463257,"2 hours","female",3.70000004768372,NA
26,2.29999995231628,"2 hours",2.79999995231628,"2 hours",2.09999990463257,"2 hours",2.79999995231628,"2 hours",2.79999995231628,"3 hours",2.5,"2 hours","male",3,"no"
