"Agency1","Agency2","Agency3","Intrin1","Intrin2","Intrin3","Extrin1","Extrin2","Extrin3","PosAFF1","PosAFF2","PosAFF3","NegAFF1","NegAFF2","NegAFF3","Sex","gender","ethnicity","race"
3.5,4,4,4,4,4,1,1,1.5,4,4,4,1,1,1,1,"male","Hispanic","Nonwhite"
2.5,3.1667,3,3.2123,2,3,1.8333,2.6667,1.8333,3,3.5,2.5,1.5,1.6858,1.5,1,"male","White","White"
1.8333,2,1.5,3,3,2,1,1,1,3.0184,2.5,3,1,1,1,1,"male","White","White"
2.7714,3.0602,2.3639,3.1337,4,3,1.0774,1.1667,1,3,2.5,3,2.5,2.5,1.5,1,"male","White","White"
3.1667,3.3333,2.8333,3.5,4,4,1.8333,2,1.8333,3.7804,3.5,3,2.5,2,3,1,"male","White","White"
2.3333,2.8333,2.3333,3,2.5,3,3.0588,2.4125,2.6667,4,3,3,2,1.5,2,1,"male","White","White"
2,1.5,2,2.5,3.5,4,1.3333,1.5,1.1667,3,2.5,3,1,1,1,1,"male","White","White"
1.6667,1.8333,2,2.5,3,2,1.8333,1.5,1.8333,2.5,2,2.5,1,1.5,1,1,"male","White","White"
2.7556,2.7292,2.867,2.4765,2,3,2.5853,2.7535,2.1667,4,3,3.5,2,2,2.3785,1,"male","White","White"
2.3333,2.6667,2.5,3.5,3.5,3,1.4031,1.1667,1.1667,3,3,3,2.5,2,1.5,1,"male","White","White"
3.1667,3.3333,3.3333,4,4,4,1.5,1.3333,1.5,3.5,2.5,3,2.5,2.5,1.5,1,"male","White","White"
2.307,2.5345,2.4232,3.0802,2.3024,2.7283,1.8963,1.8333,1.7223,2.6715,3.564,3.5853,1.4925,2.6604,1.9361,1,"male","Hispanic","Nonwhite"
2.6697,2.7515,2.7522,2.1668,1.5,2.7001,1.2398,1,1.3738,3,3,3,1,1,1,1,"male","White","White"
3.0015,3.0443,2.9265,2,2.3875,2,1.8333,1.9668,1.8333,3,2,2.5,2,3,2.5,1,"male","White","White"
3,3,3.1667,3,3,2.5,1.8333,1.8333,1.6667,3.9295,3.7342,3.7563,1.0721,1.0607,1.1214,1,"male","Hispanic","Nonwhite"
3.0131,3.0059,3.1065,2.5381,3.5,1,2.2866,2.5107,2.5,2.5,2.8329,3.3371,2.005,1.4629,1.3398,1,"male","White","White"
1.5,1.5,1.8333,2.5,3,2,1,1,1,2,1.5,1.5,1.5,2,2.5,1,"male","White","White"
2.6667,2.5,2.6667,4,2.5,4,2.0345,1.5,1.977,3,3.5,3,1,1,1,1,"male","White","White"
1.6667,2,1.8333,2.5,4,2.5,1.6667,1.5,1.5,3.5,3,2.5,1.5,1,1,1,"male","White","White"
3.3138,3.4091,3.5493,2.5,3.0294,3.1163,2.0231,1.8045,1.2167,3.0533,2.984,2.9294,1.4976,1.5277,1.4134,1,"male","Hispanic","Nonwhite"
1.6667,1.6667,1.6667,2.5,2,2,1.1667,1.3333,1.3333,2,2,2,2,2,2,1,"male","White","White"
2.2119,2.1256,1.5,2,3,3.5,1.6667,2.509,2,1.8471,1.6074,1.5222,1,1.0331,1.0695,1,"male","Asian","Nonwhite"
3.0564,3.0075,2.8717,2.9699,2.5,2.6169,2.6391,2.8333,2.1453,4,4,4,1,1,1,1,"male","White","White"
2.5,2.6667,2.1667,2.5,3,3,1.6667,2.3333,1.5,2,2,2,1,1,1,1,"male","White","White"
3.5,3.6667,3.6667,3.5,3.5,2,2.6667,3.5,3.5,4,2.7575,4,4,3.258,3.5,1,"male","Black","Nonwhite"
1,1,1,4,1.5,4,1,1.1667,1,4,4,3,1,1,1,1,"male","Hispanic","Nonwhite"
2.6667,2.8333,2.6667,3,3.5,4,2.5,3,3.0898,3.5,3.5,3.5,3,3,3,1,"male","White","White"
1.6667,1.8333,1.6667,1.5,2,1.5,1,1,1,2,2,2,1.6618,1,1.5,1,"male","White","White"
2,2.1667,2,3.5,2.5,2,1.6667,2,1.1667,2.5,2.5,3,1,1,1,1,"male","Hispanic","Nonwhite"
2.3172,2.388,2.3873,2.1274,2,2,2.1548,2.5,2.6667,3,2.5,2.5,2,2,2,1,"male","White","White"
2.3333,2.524,2.3333,4,3,2.5,1.2734,1.3333,1,4,4,4,1,1,1,1,"male","White","White"
2,2.3333,1.8333,2,2,2,1.5,2.1667,1.6667,2.5,2,2,1.5,1.5,1.5,1,"male","White","White"
1.8333,2.3333,2,4,2.5,3,1.3333,2.0777,1.7436,3.5,2.5,2.5,2.5,2.5,3,1,"male","White","White"
1.9933,2.4742,2.4373,3.5,3.3226,3,1.1667,1.3049,1.1667,2.5,2,3,1,1,1,1,"male","White","White"
3.3333,3.3333,3.6667,2.5,4,4,2.3333,3.5,3.3333,4,4,4,3,2.6785,2.7422,1,"male","White","White"
2.1798,2.4694,2.0224,3.1933,3,3,1.5842,1.6667,1.3333,2.5,2,2.5,2,2,1.5,1,"male","White","White"
2.6667,2.6369,2.8333,3,2,3.4543,1.5,2.8926,3,2,2.5,2.2876,2,2,1,1,"male","Hispanic","Nonwhite"
1.3333,1.8438,1.1667,3,1,1,1.1667,1,1.2362,3.1156,2.8924,3.0785,1.752,1.495,1.3645,1,"male","White","White"
2.6608,2.6415,2.6808,3.5,2.9168,3.5,2.3333,2.3638,3,3.5,4,4,1.5,1,1,1,"male","White","White"
2.1667,2.1667,2.1667,2,3,3.5,1.3333,1,1.1667,3.162,2.9232,3.1168,1.6027,1.5583,1.5816,1,"male","White","White"
2.4063,2.5557,2.4394,2.9186,3.5,2.5,1.4681,1.6667,1.1667,2.5,2,2,1,1,1,1,"male","White","White"
