"id"	"age"	"tenure"	"female"	"wbeing"	"satis"	"jobperf"	"turnover"	"iq"
1	40	10	1	8	8	6	0	106
2	53	14	1	6	5	5	0	93
3	46	10	1	7	7	7	0	107
4	37	8	1	7	5	5	0	94
5	44	9	1	8	5	5	0	107
6	39	10	1	7	6	7	0	118
7	33	7	1	7	5	7	0	103
8	43	9	1	7	7	7	0	106
9	35	9	1	7	7	7	1	108
10	37	10	1	5	6	6	0	97
11	35	8	1	5	8	5	1	100
12	45	9	1	7	6	6	0	112
13	38	11	1	6	7	5	0	102
14	38	9	1	6	6	6	1	97
15	35	4	1	5	5	6	0	89
16	29	1	1	5	7	6	0	104
17	37	8	1	6	3	5	1	90
18	31	7	1	6	6	6	0	96
19	30	4	1	6	6	6	0	97
20	44	15	1	7	6	6	0	102
21	40	12	1	7	7	7	0	102
22	33	10	1	7	8	7	0	110
23	42	13	1	6	7	6	0	113
24	33	9	1	6	4	6	1	102
25	40	14	1	6	7	6	0	108
26	44	9	1	8	5	8	0	93
27	43	8	1	7	6	8	0	104
28	35	9	1	6	7	7	0	96
29	39	14	1	8	5	9	0	100
30	31	4	1	6	5	5	0	105
31	36	7	1	8	6	6	0	91
32	31	6	1	6	7	4	0	103
33	29	6	1	5	6	5	0	93
34	47	10	1	7	7	5	1	98
35	39	8	1	7	6	7	0	111
36	31	8	1	6	5	7	0	91
37	46	12	1	6	8	6	0	94
38	40	10	1	8	6	6	1	102
39	34	8	1	5	5	6	0	94
40	32	4	1	6	6	4	1	79
41	47	11	1	6	6	5	0	110
42	34	9	1	7	6	6	1	89
43	41	11	1	5	5	6	1	91
44	30	4	1	4	6	4	0	104
45	45	10	1	6	5	4	1	95
46	33	11	1	6	5	5	1	101
47	52	16	1	7	5	5	1	93
48	41	7	1	7	5	6	0	113
49	40	7	1	7	4	8	0	92
50	43	12	1	6	4	6	1	112
51	42	12	1	7	7	6	0	106
52	37	13	1	5	7	6	1	117
53	34	5	1	5	6	7	0	102
54	36	10	1	8	6	8	0	112
55	35	11	1	7	7	6	0	103
56	40	13	1	7	7	6	0	103
57	46	12	1	8	7	8	0	103
58	29	4	1	6	5	6	0	110
59	39	11	1	7	6	7	1	112
60	45	13	1	7	5	5	1	96
61	45	19	1	8	6	7	0	108
62	49	17	1	7	7	7	0	102
63	41	8	1	5	7	3	1	95
64	29	11	1	6	6	7	0	104
65	26	8	1	5	6	6	1	107
66	30	4	1	3	5	5	1	97
67	43	16	1	7	7	5	0	84
68	47	12	1	9	6	7	0	97
69	31	7	1	7	6	6	1	105
70	33	9	1	5	8	6	0	102
71	42	12	1	8	6	8	0	110
72	46	15	1	8	7	6	1	109
73	32	10	1	9	7	6	0	99
74	40	10	1	6	6	4	1	96
75	40	11	1	5	6	5	1	98
76	41	15	1	7	6	4	1	93
77	46	11	1	6	7	4	0	101
78	41	9	1	6	6	6	0	92
79	41	6	1	7	6	5	1	95
80	30	10	1	8	8	10	0	111
81	43	14	1	6	6	6	0	103
82	40	7	1	6	5	8	0	98
83	29	6	1	5	6	6	0	98
84	30	6	1	7	7	7	0	98
85	37	10	1	4	4	4	1	93
86	40	9	1	8	5	6	0	101
87	33	8	1	6	4	6	1	101
88	45	9	1	6	7	5	0	98
89	39	5	1	5	5	4	0	101
90	27	9	1	7	6	6	0	100
91	35	7	1	7	6	6	0	98
92	41	10	1	7	7	8	0	124
93	37	5	1	7	7	7	0	107
94	39	13	1	5	6	3	1	95
95	46	15	1	6	7	5	0	90
96	30	11	1	5	5	6	1	105
97	44	14	1	7	6	6	0	101
98	31	7	1	7	8	8	0	105
99	37	7	1	8	7	8	0	112
100	36	10	1	5	6	6	0	95
101	36	11	1	7	6	7	1	107
102	34	5	1	7	5	8	0	98
103	41	12	1	8	9	8	0	95
104	37	14	1	9	6	8	0	98
105	38	10	1	5	6	7	0	111
106	45	9	1	5	4	4	1	99
107	42	16	1	7	8	6	1	103
108	43	11	1	6	3	4	0	86
109	38	11	1	4	4	3	1	95
110	37	12	1	5	5	7	0	99
111	41	14	1	8	6	7	0	102
112	41	12	1	6	6	7	0	112
113	41	16	1	7	8	6	0	108
114	38	8	1	8	6	8	0	113
115	39	8	1	6	6	6	0	111
116	38	9	1	6	7	5	0	94
117	40	8	1	4	5	4	1	95
118	32	8	1	6	6	6	0	104
119	41	8	1	7	5	7	0	99
120	40	8	1	5	5	5	0	87
121	38	7	1	6	4	5	1	106
122	34	12	1	4	5	4	1	101
123	50	13	1	10	8	8	0	110
124	31	8	1	7	7	7	0	93
125	46	14	1	4	5	3	1	87
126	35	7	1	5	5	3	1	94
127	26	10	1	6	7	7	0	106
128	34	11	1	6	6	6	1	93
129	34	11	1	7	6	5	1	97
130	38	14	1	9	7	8	1	108
131	34	9	1	7	7	7	0	99
132	33	9	1	7	7	7	0	97
133	34	6	1	6	4	4	1	71
134	40	7	1	4	4	4	1	86
135	34	9	1	8	7	8	0	108
136	36	12	1	6	9	5	1	116
137	40	12	1	7	8	8	0	125
138	43	15	1	5	4	5	0	80
139	35	6	1	6	6	7	0	103
140	28	6	1	5	6	7	0	110
141	32	8	1	7	6	7	1	100
