fatals licenses
114 159226.00
3 12076.00
84 157854.00
66 98009.00
242 822995.00
48 113097.00
40 109769.00
19 27184.00
4 13398.00
354 657698.00
162 201744.00
6 32381.00
26 37809.00
124 337621.00
113 183385.00
71 98329.00
58 85057.00
87 120086.00
71 124659.00
30 45287.00
54 140906.00
38 195762.00
148 303848.00
88 133017.00
109 83553.00
126 184988.00
28 30580.00
2.4 56920.00
26 60466.00
17 39056.00
86 264097.00
30 57214.00
160 484142.00
182 251597.00
9 21828.00
148 375512.00
87 115437.00
68 110625.00
178 437976.00
7 32528.00
76 124678.00
18 26347.00
130 189168.00
298 509752.00
23 48817.00
9 20824.00
110 186419.00
55 163091.00
36 66761.00
82 166662.00
12 16713.00
