name_old,name_new,class_old,class_new,value_old,value_new,missings,recodes
StudentID,stuID,integer,integer,,,,
SchoolID,schoolID,integer,integer,,,,
Gender,gender,integer,factor,1|2,Male|Female,,
Age,age,integer,integer,11|12|13|14|15|16|17,11|12|13|14|15|16|17,,
Grade,grade,factor,factor,6|7|8|9|10,6|7|8|9|10,,
BodyFeelings1r_i,body1_o,integer,ordered,0|1|2|3|4,I strongly agree<I agree<I am undecided<I do not agree<I do not agree at all,,
BodyFeelings2_i,body2_o,integer,ordered,0|1|2|3|4,s not agree<not agree<undecided<agree<s agree,,
BodyFeelings3r_i,body3_o,integer,ordered,0|1|2|3|4,I strongly agree<I agree<I am undecided<I do not agree<I do not agree at all,,
BodyFeelings4_i,body4_o,integer,ordered,0|1|2|3|4,s not agree<not agree<undecided<agree<s agree,,
BodyFeelings5r_i,body5_o,integer,ordered,0|1|2|3|4,I strongly agree<I agree<I am undecided<I do not agree<I do not agree at all,,
PhysHealth1_i,phys1_o,integer,ordered,0|1|2|3|4,everyday<every week<More than once a week<every month<never,,
PhysHealth2_i,phys2_o,integer,ordered,0|1|2|3|4,everyday<every week<More than once a week<every month<never,,
PhysHealth3_i,phys3_o,integer,ordered,0|1|2|3|4,everyday<every week<More than once a week<every month<never,,
PhysHealth4_i,phys4_o,integer,ordered,0|1|2|3|4,everyday<every week<More than once a week<every month<never,,
PhysHealth5_i,phys5_o,integer,ordered,0|1|2|3|4,everyday<every week<More than once a week<every month<never,,
PhysHealth6_i,phys6_o,integer,ordered,0|1|2|3|4,everyday<every week<More than once a week<every month<never,,
PhysHealth7_i,phys7_o,integer,ordered,0|1|2|3|4,everyday<every week<More than once a week<every month<never,,
PhysHealth8_i,phys8_o,integer,ordered,0|1|2|3|4,everyday<every week<More than once a week<every month<never,,
Depress1r_i,depre1_o,integer,ordered,0|1|2|3|4,Never<Seldom<Sometimes<Often<Always,,
Depress2r_i,depre2_o,integer,ordered,0|1|2|3|4,Never<Seldom<Sometimes<Often<Always,,
Depress3r_i,depre3_o,integer,ordered,0|1|2|3|4,Never<Seldom<Sometimes<Often<Always,,
Depress4r_i,depre4_o,integer,ordered,0|1|2|3|4,Never<Seldom<Sometimes<Often<Always,,
Depress5r_i,depre5_o,integer,ordered,0|1|2|3|4,Never<Seldom<Sometimes<Often<Always,,
Depress6r_i,depre6_o,integer,ordered,0|1|2|3|4,Never<Seldom<Sometimes<Often<Always,,
GotBully1_i,gotBu1_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
GotBully2_i,gotBu2_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
GotBully3_i,gotBu3_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
GotBully4_i,gotBu4_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
GotBully5_i,gotBu5_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
GotBully6_i,gotBu6_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
GotBully7_i,gotBu7_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
GotBully8_i,gotBu8_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
GotBully9_i,gotBu9_o,integer,ordered,0|1|2|3|4,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
