"name_old","name_new","class_old","class_new","value_old","value_new","missings","recodes"
"VERSION","VERSION","character","character","2004NES_VERSION:2005AUG16|.","2004NES_VERSION:2005AUG16|.","",""
"DSETID","DSETID","character","character","2004.T|.","2004.T|.","",""
"V040001","V040001","integer","integer",".",".","",""
"V040002","V040002","integer","integer",".",".","",""
"V040101","V040101","integer","integer","0|1|2|3|.","0|1|2|3|.","",""
"V040102","V040102","integer","integer","0|1|2|3|.","0|1|2|3|.","",""
"V040103","V040103","integer","integer",".",".","",""
"V041001","V041001","factor","factor","0. Pre-election interview only|1. Both Pre-election and Post-election interviews|.","0. Pre-election interview only|1. Both Pre-election and Post-election interviews|.","",""
"V041101","V041101","factor","factor","1. One person in HH|2. Two persons in HH|3. Three persons in HH|4. Four persons in HH|5. Five persons in HH|6. Six persons in HH|7. Seven persons in HH|8. Eight persons in HH|9. Nine persons in HH|.","1. One person in HH|2. Two persons in HH|3. Three persons in HH|4. Four persons in HH|5. Five persons in HH|6. Six persons in HH|7. Seven persons in HH|8. Eight persons in HH|9. Nine persons in HH|.","",""
"V041102","V041102","factor","factor","1. One adult in HH|2. Two adults in HH|3. Three adults in HH|4. Four adults in HH|5. Five adults in HH|6. Six adults in HH|.","1. One adult in HH|2. Two adults in HH|3. Three adults in HH|4. Four adults in HH|5. Five adults in HH|6. Six adults in HH|.","",""
"V041102A","V041102A","factor","factor","1. One eligible adult in HH|2. Two eligible adults in HH|3. Three eligible adults in HH|4. Four eligible adults in HH|5. Five eligible adults in HH|6. Six eligible adults in HH|.","1. One eligible adult in HH|2. Two eligible adults in HH|3. Three eligible adults in HH|4. Four eligible adults in HH|5. Five eligible adults in HH|6. Six eligible adults in HH|.","",""
"V041102B","V041102B","factor","factor","0. No ineligible adult in HH|1. One ineligible adult in HH|2. Two ineligible adults in HH|3. Three ineligible adults in HH|4. Four ineligible adults in HH|.","0. No ineligible adult in HH|1. One ineligible adult in HH|2. Two ineligible adults in HH|3. Three ineligible adults in HH|4. Four ineligible adults in HH|.","",""
"V041102C","V041102C","factor","factor","0. No female adult in HH|1. One female adult in HH|2. Two female adults in HH|3. Three female adults in HH|4. Four female adults in HH|.","0. No female adult in HH|1. One female adult in HH|2. Two female adults in HH|3. Three female adults in HH|4. Four female adults in HH|.","",""
"V041103","V041103","factor","factor","0. No children in HH|1. One child in HH|2. Two children in HH|3. Three children in HH|4. Four children in HH|5. Five children in HH|6. Six children in HH|7. Seven children in HH|.","0. No children in HH|1. One child in HH|2. Two children in HH|3. Three children in HH|4. Four children in HH|5. Five children in HH|6. Six children in HH|7. Seven children in HH|.","",""
"V041104","V041104","factor","factor","0. No female children in HH|1. One female child in HH|2. Two female children in HH|3. Three female children in HH|4. Four female children in HH|5. Five female children in HH|6. Six female children in HH|7. Seven female children in HH|.","0. No female children in HH|1. One female child in HH|2. Two female children in HH|3. Three female children in HH|4. Four female children in HH|5. Five female children in HH|6. Six female children in HH|7. Seven female children in HH|.","",""
"V041105","V041105","factor","factor","0. No child in HH under 5 years old|1. One child in HH under 5 years old|2. Two children in HH under 5 years old|3. Three children in HH under 5 years old|.","0. No child in HH under 5 years old|1. One child in HH under 5 years old|2. Two children in HH under 5 years old|3. Three children in HH under 5 years old|.","",""
"V041106","V041106","factor","factor","0. No child in HH age 5-9|1. One child in HH age 5-9|2. Two children in HH age 5-9|3. Three children in HH age 5-9|.","0. No child in HH age 5-9|1. One child in HH age 5-9|2. Two children in HH age 5-9|3. Three children in HH age 5-9|.","",""
"V041107","V041107","factor","factor","0. No child in HH age 10-13|1. One child in HH age 10-13|2. Two children in HH age 10-13|3. Three children in HH age 10-13|4. Four children in HH age 10-13|.","0. No child in HH age 10-13|1. One child in HH age 10-13|2. Two children in HH age 10-13|3. Three children in HH age 10-13|4. Four children in HH age 10-13|.","",""
