name_old,name_new,class_old,class_new,value_old,value_new,missings,recodes
stud_id,stud_id,integer,integer,.,.,,
schl_id,schl_id,integer,integer,.,.,,
Gender,Gender,integer,integer,0|1,0|1,,
Age,Age,integer,integer,.,.,,
Grade,Grade,integer,integer,.,.,,
body1r,body1r,integer,integer,.,.,,
body2,body2,integer,integer,.,.,,
body3r,body3r,integer,integer,.,.,,
body4,body4,integer,integer,.,.,,
body5r,body5r,integer,integer,.,.,,
phyhlth1,phyhlth1,integer,integer,.,.,,
phyhlth2,phyhlth2,integer,integer,.,.,,
phyhlth3,phyhlth3,integer,integer,.,.,,
phyhlth4,phyhlth4,integer,integer,.,.,,
phyhlth5,phyhlth5,integer,integer,.,.,,
phyhlth6,phyhlth6,integer,integer,.,.,,
phyhlth7,phyhlth7,integer,integer,.,.,,
phyhlth8,phyhlth8,integer,integer,.,.,,
Depress1,depress1,integer,integer,.,.,,
Depress2,depress2,integer,integer,.,.,,
Depress3,depress3,integer,integer,.,.,,
Depress4,depress4,integer,integer,.,.,,
Depress5,depress5,integer,integer,.,.,,
Depress6,depress6,integer,integer,.,.,,
Bullied1,bullied1,integer,integer,.,.,,
Bullied2,bullied2,integer,integer,.,.,,
Bullied3,bullied3,integer,integer,.,.,,
Bullied4,bullied4,integer,integer,.,.,,
Bullied5,bullied5,integer,integer,.,.,,
Bullied6,bullied6,integer,integer,.,.,,
Bullied7,bullied7,integer,integer,.,.,,
Bullied8,bullied8,integer,integer,.,.,,
Bullied9,bullied9,integer,integer,.,.,,
Bullier1,bullier1,integer,integer,.,.,,
Bullier2,bullier2,integer,integer,.,.,,
Bullier3,bullier3,integer,integer,.,.,,
Bullier4,bullier4,integer,integer,.,.,,
Bullier5,bullier5,integer,integer,.,.,,
Bullier6,bullier6,integer,integer,.,.,,
Bullier7,bullier7,integer,integer,.,.,,
Bullier8,bullier8,integer,integer,.,.,,
Bullier9,bullier9,integer,integer,.,.,,
Alc1,alc1,integer,integer,.,.,,
Alc2,alc2,integer,integer,.,.,,
Alc3,alc3,integer,integer,.,.,,
Alc4,alc4,integer,integer,.,.,,
Alc5,alc5,integer,integer,.,.,,
body1r,body1r_o,integer,ordered,1|2|3|4|5,SA<A<U<D<SD,,
body2,body2_o,integer,ordered,1|2|3|4|5,SA<A<U<D<SD,,
body3r,body3r_o,integer,ordered,1|2|3|4|5,SA<A<U<D<SD,,
body4,body4_o,integer,ordered,1|2|3|4|5,SA<A<U<D<SD,,
body5r,body5r_o,integer,ordered,1|2|3|4|5,SA<A<U<D<SD,,
phyhlth1,phyhlth1_o,integer,ordered,1|2|3|4|5,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never,,
phyhlth2,phyhlth2_o,integer,ordered,1|2|3|4|5,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never,,
phyhlth3,phyhlth3_o,integer,ordered,1|2|3|4|5,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never,,
phyhlth4,phyhlth4_o,integer,ordered,1|2|3|4|5,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never,,
phyhlth5,phyhlth5_o,integer,ordered,1|2|3|4|5,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never,,
phyhlth6,phyhlth6_o,integer,ordered,1|2|3|4|5,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never,,
phyhlth7,phyhlth7_o,integer,ordered,1|2|3|4|5,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never,,
phyhlth8,phyhlth8_o,integer,ordered,1|2|3|4|5,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never,,
Depress1,depress1_o,integer,ordered,1|2|3|4|5,Never<Seldom<Sometimes<Often<Always,,
Depress2,depress2_o,integer,ordered,1|2|3|4|5,Never<Seldom<Sometimes<Often<Always,,
Depress3,depress3_o,integer,ordered,1|2|3|4|5,Never<Seldom<Sometimes<Often<Always,,
Depress4,depress4_o,integer,ordered,1|2|3|4|5,Never<Seldom<Sometimes<Often<Always,,
Depress5,depress5_o,integer,ordered,1|2|3|4|5,Never<Seldom<Sometimes<Often<Always,,
Depress6,depress6_o,integer,ordered,1|2|3|4|5,Never<Seldom<Sometimes<Often<Always,,
Bullied1,bullied1_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullied2,bullied2_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullied3,bullied3_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullied4,bullied4_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullied5,bullied5_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullied6,bullied6_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullied7,bullied7_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullied8,bullied8_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullied9,bullied9_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier1,bullier1_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier2,bullier2_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier3,bullier3_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier4,bullier4_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier5,bullier5_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier6,bullier6_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier7,bullier7_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier8,bullier8_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
Bullier9,bullier9_o,integer,ordered,1|2|3|4|5,never<1 or 2<2-3 p/month<1 p/week<Several p/week,,
