name_old,name_new,class_old,class_new,value_old,value_new,missings,recodes
stud_id,stud_id,integer,integer,.,.,,
schl_id,schl_id,integer,integer,.,.,,
Gender,Gender,integer,integer,0|1|.,0|1|.,,
Age,Age,integer,integer,11|12|13|14|15|16|17|.,11|12|13|14|15|16|17|.,,
Grade,Grade,integer,integer,6|7|8|9|10|.,6|7|8|9|10|.,,
body1r,body1_o,integer,ordered,1|2|3|4|5|.,SA<A<U<D<SD<.,,
body2,body2_o,integer,ordered,1|2|3|4|5|.,SA<A<U<D<SD<.,,
body3r,body3_o,integer,ordered,1|2|3|4|5|.,SA<A<U<D<SD<.,,
body4,body4_o,integer,ordered,1|2|3|4|5|.,SA<A<U<D<SD<.,,
body5r,body5_o,integer,ordered,1|2|3|4|5|.,SA<A<U<D<SD<.,,
phyhlth1,phys1_o,integer,ordered,1|2|3|4|5|.,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never<.,,
phyhlth2,phys2_o,integer,ordered,1|2|3|4|5|.,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never<.,,
phyhlth3,phys3_o,integer,ordered,1|2|3|4|5|.,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never<.,,
phyhlth4,phys4_o,integer,ordered,1|2|3|4|5|.,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never<.,,
phyhlth5,phys5_o,integer,ordered,1|2|3|4|5|.,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never<.,,
phyhlth6,phys6_o,integer,ordered,1|2|3|4|5|.,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never<.,,
phyhlth7,phys7_o,integer,ordered,1|2|3|4|5|.,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never<.,,
phyhlth8,phys8_o,integer,ordered,1|2|3|4|5|.,EveryDay<EveryWeek<MoreOnceWeek<EveryMonth<Never<.,,
Depress1,depre1_o,integer,ordered,1|2|3|4|5|.,Never<Seldom<Sometimes<Often<Always<.,,
Depress2,depre2_o,integer,ordered,1|2|3|4|5|.,Never<Seldom<Sometimes<Often<Always<.,,
Depress3,depre3_o,integer,ordered,1|2|3|4|5|.,Never<Seldom<Sometimes<Often<Always<.,,
Depress4,depre4_o,integer,ordered,1|2|3|4|5|.,Never<Seldom<Sometimes<Often<Always<.,,
Depress5,depre5_o,integer,ordered,1|2|3|4|5|.,Never<Seldom<Sometimes<Often<Always<.,,
Depress6,depre6_o,integer,ordered,1|2|3|4|5|.,Never<Seldom<Sometimes<Often<Always<.,,
Bullied1,gotBu1_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullied2,gotBu2_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullied3,gotBu3_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullied4,gotBu4_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullied5,gotBu5_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullied6,gotBu6_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullied7,gotBu7_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullied8,gotBu8_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullied9,gotBu9_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier1,buOth1_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier2,buOth2_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier3,buOth3_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier4,buOth4_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier5,buOth5_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier6,buOth6_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier7,buOth7_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier8,buOth8_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Bullier9,buOth9_o,integer,ordered,1|2|3|4|5|.,never<1 or 2<2-3 p/month<1 p/week<Several p/week<.,,
Alc1,alc1_o,integer,ordered,1|2|3|4|5|.,Never<Rarely<Monthly<Weekly<Daily<.,,
Alc2,alc2_o,integer,ordered,1|2|3|4|5|.,Never<Rarely<Monthly<Weekly<Daily<.,,
Alc3,alc3_o,integer,ordered,1|2|3|4|5|.,Never<Rarely<Monthly<Weekly<Daily<.,,
Alc4,alc4_o,integer,ordered,1|2|3|4|5|.,Never<Rarely<Monthly<Weekly<Daily<.,,
Alc5,alc5_o,integer,ordered,1|2|3|4|5|.,Never<Rarely<Monthly<Weekly<Daily<.,,
body1r,body1_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
body2,body2_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
body3r,body3_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
body4,body4_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
body5r,body5_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
phyhlth1,phys1_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
phyhlth2,phys2_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
phyhlth3,phys3_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
phyhlth4,phys4_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
phyhlth5,phys5_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
phyhlth6,phys6_i,integer,integer,1|2|3|4|5|.,1|2|3|4|5|.,,
